,Agriculture,Forestry,Fishery,Mining of Oil and Gas,Remainder Mining of Resources (No Oil and Gas),Supporting Activities of Resource Mining,Food supplement Industry,Beverage Industry,Tobacco Industry,"Textile, Clothing and Leather Industry",Wood Industry,Paper Industry,Graphical Industry,Oil Industry,Chemical Industry,Pharmaceutical Industry,Rubber and Plastic Industry,Building Material Industry,Raw Metal Industry,Metal Product Industry,Electrotechnical Industry,Electrical Device Industry,Machine Industry,Car Industry,Remainder Transport Devices Industry,Furniture Industry,Remainder of Industry,Reparation and Installation of Machines,Energy Companies,Water Pipe Company ,"Sewerage, Waste, Sanitation",General Building and Project Development,"Ground, Water and Road Building",Specialized Building,Car sales and reparation,Wholesale,Retail - not cars,Transport over land,Transport over water,Transport through air,"Storage, Services, and Transport",Post and couriers,Lodging,Restaurants and Bars,Publishers,"Production of Movies, TV, Radio, Music",Broadcasting radio and television,Telecommunication,IT-services,Services in the area of information,Banking Sector,Insurers and Pension Funds,Remainder of Financial Services,Rental value property ownership,Exploitation real estate,Legal services and administration,Holdings and management advice companies,Architects and Engineering Companies,Research,Advertising and market research,"Design, Photography, Translation Companies",Veterinary Services,Rental of Movable Property,Employment Agency and Labor Mediation,Travelling Agencies,Security and Search Services,Cleaning Companies,Remaining Business Services,Public Governance and Government Services,Education,Healthcare,Caretaking and Wellbeing,"Creative Services, Art and Amusement","Libraries, Archives, Museums",Lotteries and Other Chance Games,Sport and Recreation,Idealistic and Hobby Associations ,Repairing of Consumer Articles,Remainder of Personal Service Provision,Households with personnel
Energy Companies,291.2873668188737,1.7777777777777777,4.0,857.6576488130753,28.0022095959596,4.5,226.62314513085747,11.0,162.95277227244162,12.923076923076923,9.142857142857142,58.15888078398334,15.076923076923077,145.21227690581145,667.9341416773269,9.350649350649348,82.18169014084508,72.33870967741933,207.0044159945857,100.26233277591973,12.34074074074074,36.383640552995395,78.52267414679756,24.2,25.90476190476191,27.18739885640306,23.13529411764706,21.13125,2207.2001824054805,35.96694214876033,95.78333823962319,28.152597402597408,16.0,45.452488687782804,129.72047883112097,445.3986113998254,604.897228002464,147.08379982440738,9.333333333333334,5.333333333333333,134.36374549819928,17.824074074074076,122.58241758241758,210.09807692307686,6.222222222222223,14.215384615384616,3.0,66.91981186023904,54.97802658511924,32.331932773109244,36.30700778642936,27.88461538461538,19.285714285714285,53.01960784313726,169.66375569835776,43.24616508400292,60.980548469387756,36.72,19.950000000000006,15.5859375,12.49586776859504,3.75,18.46153846153846,15.918367346938776,8.0,1.0,32.11899313501144,33.37738698888768,265.7871143678456,181.0023418604821,111.1485576923077,153.1011282051282,50.72605965463107,29.934210526315795,41.866807610993654,107.63076923076926,69.03877790834314,4.5,69.04265107212476,0.0
Water Pipe Company ,38.02777777777778,0.0,0.0,4.0,13.0,14.770334928229664,65.82176296414853,5.0,15.882352941176473,0.0,5.333333333333333,2.0,1.0,8.166666666666666,39.91228070175438,10.0,6.857142857142857,9.333333333333332,38.82162162162163,6.8055555555555545,4.0,1.0,4.499999999999999,0.8888888888888888,0.0,1.0,3.5555555555555554,3.75,10.153846153846155,10.90909090909091,28.0,4.0,2.9999999999999996,11.11111111111111,8.333333333333332,14.726643598615915,14.280991735537194,4.0,0.0,0.0,2.0,1.0,22.166666666666664,7.875,1.4999999999999998,1.0,0.0,2.0,1.0,2.0,8.166666666666666,9.14285714285714,3.0,0.0,10.0,7.83673469387755,16.88888888888889,2.0,2.0,5.333333333333333,1.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,41.002567394094996,14.0,21.05263157894737,20.900000000000002,7.0,1.0,0.0,11.666666666666666,9.142857142857142,1.0,7.500000000000001,0.0
"Sewerage, Waste, Sanitation",391.88704407241505,0.0,2.0,5.599999999999999,12.000000000000002,0.0,178.9625819994752,8.0,5.0,4.499999999999999,1.0,34.79259783597937,9.777777777777779,11.0,266.8519504521352,2.0,133.90330788804073,127.71484593329768,658.322597455816,277.05988218018916,16.0,22.956521739130437,22.82608695652174,5.0,2.0,3.0,2.2222222222222223,5.0,16.952908587257618,2.9999999999999996,2208.361171660254,108.02141938068712,150.70619607843136,109.45012611786287,15.86666666666667,152.1810218978102,40.000000000000014,10.0,3.0,1.0,17.066666666666666,9.0,17.04722222222222,23.958333333333336,1.0,3.0,4.499999999999999,15.90643274853801,17.647058823529413,1.0,8.666666666666666,19.0,26.646260869565214,2.0,45.0,16.0,185.64714281791473,10.710743801652894,11.428571428571429,1.5,3.0,0.0,5.333333333333333,5.0,3.0,0.0,3.0,9.0,1032.2526866503945,49.02219202898551,121.40807474140806,68.5235969387755,9.000000000000002,9.0,4.0,31.810735887096765,9.0,0.0,3.0,0.0
General Building and Project Development,126.66756949394157,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,0.0,0.0,9.268518518518519,0.0,0.0,13.636363636363635,1.0,1.0,0.0,2.0,12.784090909090908,9.0,15.0,11.0,4749.688173962863,738.3182161363959,641.8042208293981,9.0,101.08695652173913,21.954545454545453,7.0,2.0,3.0,67.0,3.0,15.0,15.0,0.0,1.0,0.0,41.90056818181818,9.0,0.0,5.0,3.0,3.0,2802.8188540476635,2169.089637464365,21.954545454545453,262.6023529411765,478.78206282922577,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,297.48448360740514,322.6612661266126,92.95651157353286,184.6945923227795,5.0,1.0,6.0,28.92857142857143,13.0,0.0,3.0,0.0
"Ground, Water and Road Building",6.0,8.0,1.0,1.0,3.0,134.49993241956693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,9.09090909090909,0.0,1.0,0.0,0.0,11.693181818181818,0.0,0.0,9.642857142857142,1.0,2.25,9.0,3.0,5.571428571428572,1022.7816889960717,37.710437710437716,5.0,1525.6503740882654,863.0212694046878,917.0693181150623,3.0,93.76772745818033,13.0,32.61224489795918,0.0,0.0,390.4371411757014,0.0,9.625,19.047619047619047,0.0,0.0,1.0,203.28194915468276,0.0,0.0,0.0,0.0,0.0,26.03571428571429,55.98214285714286,0.0,4.0,155.76036358628286,4.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1825.4656562743146,12.0,4.0,25.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0
Specialized Building,246.69682353341497,8.0,1.0,12.0,4.0,1.0,85.83231334149326,8.0,1.0,6.0,8.0,18.133333333333333,9.0,9.0,110.7098656294201,12.0,16.0,11.7,39.711385593738534,43.27272727272727,5.0,3.0,31.728110599078338,12.599999999999998,39.04761904761905,3.0,10.8,12.833333333333334,54.541452677916354,11.0,27.999999999999993,11196.450202155029,3505.6775465510577,6077.664107576936,22.0,164.04807692307696,128.016,45.64740566037736,17.066666666666666,26.0,214.68738184591518,5.142857142857142,29.037037037037038,42.0,5.333333333333333,5.0,1.0,246.4742807539682,34.0,5.0,22.0,20.0,14.0,3343.426353810366,2874.8593979252214,16.0,300.2600304838115,118.90909090909092,33.0,9.0,4.0,1.0,31.07142857142857,16.0,0.0,3.0,31.0,12.1,764.8179631692385,427.1958186472252,139.96469098277612,257.7687629413994,22.952479338842974,7.0,19.0,65.953125,27.0,2.0,18.0,0.0
Car sales and reparation,65.98484848484848,4.388571428571429,0.0,4.0,4.0,3.0,79.0,4.0,0.0,5.0,9.0,3.0,8.0,2.9999999999999996,23.0,3.0,7.0,17.8328173374613,13.636363636363637,43.0,4.0,6.857142857142857,28.93333333333334,39.951219512195124,5.0,16.0,10.083333333333336,22.08,4.0,6.249999999999999,104.16816614185035,69.85341614906832,47.142857142857146,211.0231026317995,2693.9542734916913,436.5573608166817,135.817169195314,726.983542930013,0.0,0.0,71.99999999999999,50.88721804511279,5.0,31.90615835777126,8.0,10.0,1.0,28.999999999999996,50.980392156862735,11.22916666666667,49.89322916666667,57.0,38.807326007326004,0.0,58.13834422657952,46.9248,320.3970410709238,56.00000000000001,6.0,28.36601307189543,24.007936507936506,2.0,1224.839824644703,19.130434782608695,3.0,21.85,71.06241758241758,12.000000000000002,123.07088883196721,89.96590909090911,69.96524602158406,57.96094276094275,28.1216,11.928994082840239,4.0,41.975014872099955,32.21052631578948,4.0,14.0,0.0
Wholesale,223.2735483465451,6.857142857142857,3.0,21.84,15.0,7.0,694.985731225944,81.03529411764707,19.619565217391305,36.12903225806452,30.11248285322359,191.82860481724342,43.84120906140379,61.53846153846153,481.3909347136519,46.60869565217391,123.56129032258063,85.12855414398064,484.61821047662403,142.83112832155288,62.18575851393189,144.3947443047547,388.1613160148873,79.27710511832692,67.58620689655172,27.96428571428571,27.066666666666663,49.84120990345687,117.36287569620903,5.0,342.76853864583717,155.92722039473682,81.16993706034802,237.57007422068287,74.07594936708863,3401.05384487566,626.827233859767,95.23315118397088,32.029411764705884,26.928571428571427,153.70107235508505,44.425846153846145,50.04255319148937,104.13298918387413,47.03265933194567,21.023359288097886,13.928571428571427,77.3797201456776,678.5611822438568,183.30076473234374,17.142857142857146,47.61574074074074,34.8359375,0.0,109.22663177253139,114.91478581298942,328.1004364105033,201.37521043044765,32.16216216216216,55.82264957264957,60.39260312944524,1.0,156.82841049382716,51.51455835576218,21.083333333333336,9.0,42.044444444444444,42.3015873015873,257.2194879963591,32.903225806451616,70.78260869565217,61.70769666100736,17.77777777777778,11.0,6.666666666666667,21.999999999999996,20.14229249011857,23.333333333333332,17.0,0.0
Retail - not cars,6.0,0.0,0.0,0.0,1.0,0.0,9.0,2.0,0.0,1.0,2.0,6.0,1.0,0.0,11.076923076923078,0.0,6.0,4.8,3.0,2.9999999999999996,5.0,6.857142857142857,4.0,3.0,0.0,1.0,0.0,3.2,2.0,0.0,4.0,0.0,3.75,13.066666666666666,11.555555555555555,51.0,1020.8743624521014,10.636363636363637,2.0,0.0,4.999999999999999,9.0,3.0,4.0,0.0,0.0,0.0,184.63335247540525,3.0,0.0,6.0,3.0,3.0,0.0,11.0,5.0,24.45784615384616,7.0,0.0,4.0,31.676767676767682,0.0,21.789473684210527,0.0,0.0,0.0,8.8,0.0,9.900000000000002,6.0,6.0,0.0,3.2,4.0,3.0,5.0,2.6666666666666665,0.0,0.0,0.0
Transport over land,80.05976203353164,0.0,3.0,13.0,4.0,1.0,64.01612903225806,12.0,2.0,8.0,3.0,12.0,10.153846153846155,124.73644746218488,78.98862828713577,5.0,13.928571428571429,10.0,16.0,38.0,35.10256410256411,30.83426028921023,33.833333333333336,18.0,11.0,3.0,2.0,2.0,10.799999999999999,0.0,444.8090909090908,23.0,24.959999999999997,40.18181818181818,123.98373983739837,974.9666253936692,167.9281437125748,6175.820251737548,28.08,18.88888888888889,204.69048870299244,11.142857142857142,8.0,14.0,13.0,21.904761904761905,5.0,24.0,36.656346749226,5.0,18.055727554179565,35.0,22.0,0.0,13.0,12.0,156.8337964567428,15.0,7.0,8.0,5.0,0.0,19.0,18.59375,311.73711985596805,1.0,3.0,3.0,227.0441090441091,58.0,128.90756302521007,151.86386946386943,11.818181818181817,6.0,1.0,23.294117647058822,41.0,0.0,6.0,0.0
Transport over water,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258.4069043576684,0.0,182.29332764262338,614.8817484770644,0.0,91.15850884470258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Transport through air,10.0,2.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,1.0,7.0,0.0,1.0,0.0,2.0,0.0,1.0,911.0617053858956,2.0,1.0,0.0,1.0,0.0,2.0,3.0,22.857142857142858,10.0,2.0,0.0,157.1797111361127,69.0188679245283,10.666666666666666,2.0,2.0,0.0,1.0,1.0,15.669642857142858,4.0,1.0,4.166666666666667,4.0,0.0,0.0,9.0,2.0,106.19349005424954,2.0,1.0,1.0,0.0,0.0,0.0,1.0,724.7164839215345,0.0,0.0,1.0,26.962962962962962,20.0,53.153504880212964,28.053030303030305,2.0,1.0,4.0,2.0,3.0,0.0,1.0,0.0
"Storage, Services, and Transport",54.270634920634926,0.0,8.0,33.70600414078675,0.0,3.0,53.05263157894736,3.0,2.0,3.0,2.0,0.0,2.0,468.98318879854696,256.0644485906334,0.0,2.0,4.0,4.0,3.0,10.0,1.0,1.5,4.0,5.0,0.0,2.0,2.0,41.967391304347835,0.0,7.0,8.0,3.8399999999999994,18.666666666666668,78.50500729217308,510.9229971411219,70.12869050606993,537.832913767307,404.6638251656457,549.963512625438,3946.691632310129,16.363636363636363,6.857142857142856,5.0,1.5,2.0,1.0,19.09090909090909,31.030303030303035,3.0,8.6625,15.058823529411764,13.0,0.0,4.0,5.0,261.3142857142857,7.0,0.0,9.0,6.0,1.0,6.666666666666667,6.0,0.0,1.0,2.0,65.07204368830078,213.93836012552177,8.0,3.0,7.0,5.0,2.0,0.0,0.0,0.0,2.0,6.857142857142857,0.0
Post and couriers,25.10344827586207,0.0,1.0,0.0,0.0,0.0,21.85,1.0,0.0,1.0,2.0,2.25,4.0,3.0,7.0,3.0,2.25,4.8,3.0,10.461904761904762,6.0,0.5,19.0,6.0,4.0,3.0,5.0,7.0,23.75,3.0,3.0,22.121818181818185,10.666666666666666,41.51945080091532,27.0,248.86551976139114,151.64702404414663,115.2079271591187,5.0,2.0,33.88235294117647,1132.838930658941,12.05357142857143,25.830078125000004,33.92071556350626,8.88888888888889,2.25,47.01519605223308,24.489028213166147,7.5,63.43620812544549,22.115384615384613,21.681159420289855,0.0,111.34390019429391,34.89473684210527,140.60049019607843,15.210526315789473,5.0,11.086005830903792,11.0,0.25,12.833333333333334,13.0,5.0,10.0,12.0,5.142857142857142,352.42395303571783,113.65234374999999,97.74072074151329,154.82803923901886,20.91699604743083,11.076923076923078,5.0,16.666666666666668,25.23,2.0,8.1,0.0
Lodging,4.0,0.0,0.0,5.0,1.0,6.0,27.964285714285715,3.2,1.0,1.3333333333333333,4.0,3.0,3.0,2.0,15.000000000000002,1.3333333333333333,4.0,4.0,10.0,14.0625,11.846153846153848,7.333333333333334,20.917894736842104,3.2,3.0,2.0,5.0,6.0,10.0,1.0,4.8,11.000000000000002,8.88888888888889,22.22222222222222,23.076923076923077,165.77823275673498,60.94384672070745,29.18628472222223,14.000000000000002,16.049535603715167,10.90909090909091,10.0,165.27190949979558,63.45888183636205,9.230769230769232,15.9375,7.0,16.45021645021645,55.91384615384616,7.0,34.84276241808523,31.13804713804714,26.025641025641026,0.0,14.0,44.84375000000001,109.24935775600991,25.985663082437274,11.818181818181817,4.166666666666667,6.0,1.0,8.0,55.83673469387756,47.50000000000001,2.25,18.866310160427805,4.285714285714286,66.78833349630644,43.183673469387756,59.803127693191605,49.45263754963132,14.76923076923077,5.0,0.0,11.0,8.0,1.0,7.0,0.0
Restaurants and Bars,7.0,1.0,0.0,7.7142857142857135,1.0,4.0,75.85423423423421,14.0,1.5,3.75,3.0,3.0,5.0,4.285714285714286,29.257142857142856,4.0,8.0,8.0,15.058823529411764,22.736842105263158,33.48529411764706,22.08,28.166666666666668,8.75,13.575757575757576,8.0,12.0,6.125,29.176470588235293,2.0,5.0,28.999999999999996,8.571428571428571,38.16022213081036,25.999999999999996,259.8655286054015,52.875,51.483704974271014,12.8,383.27373764007916,44.54786371011357,16.0,27.09677419354838,85.72058823529412,9.295320064550834,19.0,10.909090909090908,22.956521739130437,69.92118018967332,12.833333333333334,43.41999463950684,41.0,35.94594594594594,0.0,17.052631578947366,44.71209641422407,184.5639104069997,23.7882797731569,26.923076923076923,11.076923076923078,16.941176470588236,1.0,17.142857142857142,16.58730158730159,15.567567567567568,8.0,76.65598290598291,7.853365384615384,128.1211232797054,33.849264705882355,409.2355035572302,317.89433009877723,10.799999999999999,5.0,7.0,57.98275862068965,27.034482758620687,1.0,9.84375,0.0
Publishers,3.0,0.0,0.0,3.0,1.0,2.9999999999999996,26.962962962962962,3.0,0.0,3.0,8.0,8.0,8.974358974358974,1.0,14.953703703703704,4.0,6.0,3.0,4.285714285714286,15.9375,7.0,2.0,13.0,6.0,9.090909090909092,9.074074074074074,8.1,9.0,6.222222222222222,1.0,11.0,15.0,8.0,23.402025503300667,23.811124260355026,177.26608009708738,61.24931506849316,30.07957559681697,2.4000000000000004,1.0,27.970863683662845,inf,12.000000000000002,38.13333333333333,301.76597482564347,11.200000000000003,8.0,20.5993265993266,90.97826086956522,10.0,46.09919999999999,24.443288241415196,17.430830039525688,0.0,40.0,35.3057288712422,74.0903540903541,17.052631578947366,33.0,210.16079725953145,6.666666666666666,0.0,10.0,24.852071005917157,13.2,0.9375,11.916666666666666,15.0,235.91771911163548,374.12841502859175,174.79464446852438,98.73835304929777,5.0,12.277777777777777,1.0,3.0,14.0,2.0,6.0,0.0
"Production of Movies, TV, Radio, Music",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,6.0,10.0,25.747126436781603,21.0,0.0,0.0,2.0,2.9999999999999996,2.0,1.0,7.0,49.02473970770847,353.45057706001694,187.04230678525707,3.0,7.0,0.0,9.777777777777779,3.0,2.0,0.0,10.0,5.0,11.916666666666668,10.125,3.0,1027.8278722355249,3.0,0.0,37.90686274509804,4.0,1.0,0.0,2.0,3.0,49.89130434782609,2.0,5.7142857142857135,2.7999999999999994,1.0,3.0,2.0,2.0,2.0,0.0,3.0,0.0
Broadcasting radio and television,4.0,0.0,0.0,0.0,0.0,0.0,35.150000000000006,8.0,2.0,3.0,0.0,5.0,2.25,0.0,6.0,4.0,6.0,2.0,5.0,5.359375,6.0,9.0,8.0,0.0,0.0,4.0,5.0,5.0,4.0,0.0,1.0,10.0,0.0,16.0,25.0,61.984378936759896,53.96616541353384,3.0,0.0,5.0,6.0,4.0,5.0,14.0,20.0,98.73077227722774,58.32452830188679,8.0,28.965517241379306,8.0,20.0,9.42857142857143,10.0,0.0,27.931034482758623,19.0,31.0,14.0,8.1,281.8281075951815,6.0,0.0,16.8,15.0,3.2,0.0,6.0,11.0,22.0,10.0,6.0,9.0,7.0,5.0,5.0,7.0,9.0,0.0,7.0,0.0
Telecommunication,69.01492537313433,0.0,4.0,1.0,3.0,2.0,51.9792,4.0,1.0,7.0,8.0,14.181818181818182,14.933333333333334,9.6,28.038461538461537,5.0,17.142857142857142,15.0,11.428571428571429,36.266666666666666,22.956521739130434,6.0,47.1219512195122,11.11111111111111,8.88888888888889,19.428571428571427,17.0,24.095238095238095,46.25121951219513,8.88888888888889,22.235294117647058,90.02122776821572,29.866666666666667,174.22755120504263,83.06636373471817,514.2277085878034,242.93409114610486,63.0175048624618,21.0,22.28395061728395,100.40166729821902,18.86029411764706,31.153846153846153,77.46752172640633,43.05519897304236,14.0,8.75,122.91308802980906,92.76164383561644,15.0,419.8494179392984,88.18750000000001,65.16878615046656,4.0,300.06228373702425,131.3701867816092,721.3105080740727,110.73098759457514,15.0,43.095555555555556,43.120393120393125,5.0,34.596,45.25769230769231,13.928571428571429,16.0,35.096774193548384,35.03030303030303,256.0370191533881,162.35900900900904,273.0314145878846,207.9542705278592,64.24682395644282,60.18585858585859,29.037037037037038,113.19267738434405,87.07378012933569,6.0,31.105990783410135,0.0
IT-services,52.116666666666674,1.0,3.0,15.0,2.0,4.0,86.07569952397539,13.8125,5.0,1.0,3.0,37.13348765432099,25.190476190476186,17.0,297.0729423718972,13.602272727272728,14.897727272727272,21.25,30.107526881720425,33.327505827505824,41.55271629778672,41.83501114789541,56.99360341151386,12.959999999999999,22.956521739130437,5.0,14.933333333333335,31.157894736842106,92.10975609756099,14.0,16.0,97.01282051282053,125.15109646388173,176.81475667189954,93.243482055198,1526.0975479086583,221.9535332953382,53.3990755007704,139.2205996389144,64.32971014492753,127.16381116726242,40.0,79.44444444444444,111.94690265486727,91.19623233908949,64.31663574520718,56.36363636363637,562.0948439544612,5826.176809291725,1209.7339352732527,318.2946007633016,147.99631506218336,100.78594544613962,0.0,181.52083183360213,186.14864251927688,807.7715357100163,494.00789329124837,117.99915931063472,53.04510638297871,44.86892307692308,7.0,93.44288793103449,265.2308863844046,26.923076923076923,44.11325611325611,67.25818181818184,62.29787234042554,1064.7854881431808,283.198520169801,116.31126968503938,138.93749999999997,58.16203639223654,30.10752688172043,2.0,49.87574468085106,49.0,29.88614800759013,21.0,0.0
Services in the area of information,21.0,0.0,0.0,3.0,1.0,4.0,49.12353262353263,5.0,5.0,6.0,0.0,11.0,8.0,0.0,75.54899645808737,8.0,16.5,6.857142857142857,10.0,23.0,37.1712962962963,31.0,22.0,8.0,4.0,8.0,1.0,9.0,27.0,8.0,8.0,33.93939393939394,13.0,26.842105263157894,49.93750000000001,229.02225436442532,92.68133745640417,19.411764705882355,6.0,50.89361702127659,21.0,12.0,6.0,42.62820512820514,47.71052631578947,59.15306122448981,23.487922705314013,76.00379867046534,878.8651933655362,199.26042486231313,233.15973150041057,88.11945013493553,36.53846153846153,0.0,59.44822071171532,57.907407407407405,211.49194195739423,49.46503496503496,3.0,49.0,27.0,0.0,47.389668367346935,28.0,22.65151515151515,27.0,3.0,36.347826086956516,196.43374437267565,29.368421052631575,33.882352941176464,25.0,4.0,1.0,4.0,9.0,43.87500000000001,7.0,19.508021390374335,0.0
Banking Sector,153.70007120751598,,4.0,123.21366459627329,11.900826446280993,49.722875816993465,516.9209657370336,39.68082368082368,8.181818181818182,30.074074074074073,23.999999999999996,73.06013080797163,38.90526315789474,235.63347768577074,405.32383154991874,44.93617021276596,68.74633755711525,65.22628605411835,58.72386509119147,178.40333544820086,314.24963245226246,102.97886728655958,228.33803911218504,62.95384615384614,75.61936936936937,28.822477650063853,62.91642031711905,78.9501889385091,187.8617463996738,18.900000000000002,110.10826261197546,266.4876839146966,123.68740152517803,313.8853248523399,183.83128441451024,1345.137069324416,367.6211990333194,223.9833986051502,75.05155450609996,87.5299842339548,204.12425430837743,90.25970548862115,84.90361445783132,141.8642945374011,47.9983660130719,54.00000000000001,14.0625,146.2147099930119,316.4255319148936,44.46650124069479,4289.593514925959,4157.661834387207,587.2514858049392,22138.349152699935,424.9240799567039,159.63629280730956,2332.8423035980445,122.33030852994555,53.772594752186585,69.31609280331018,40.81801125703566,6.0,140.92796885139518,231.82538509844483,87.29285714285714,15.0,87.94420326864147,40.930232558139544,1601.6390215979704,184.66596352749048,421.39395523363265,425.0905622649663,58.03636363636364,18.133333333333333,17.899583333333332,84.90292274041778,321.3474372738196,10.0,51.96078431372549,0.0
Insurers and Pension Funds,104.34188034188033,0.0,3.0,3.0,0.0,0.0,48.74909963985594,5.25,1.0,4.166666666666667,6.857142857142857,6.0,6.0,3.0,18.9,5.0,9.75,15.685185185185187,2.1333333333333333,14.31578947368421,8.591715976331363,5.444444444444445,13.287197231833911,5.6000000000000005,6.0,12.0,6.0,13.983193277310924,13.96825396825397,2.0,23.03159340659341,23.958333333333336,15.0,59.959016393442624,36.95140664961636,282.14400652645537,104.90127471383973,68.54488184504675,13.108333333333333,8.571428571428571,26.19354838709677,3.0,26.7375,15.471428571428572,6.0,11.0,0.0,8.0,42.5578231292517,12.6,98.39403822431011,182.47075050817028,25.56473829201102,105.64587155963304,114.36122070364884,33.15789473684211,80.30143990202673,43.03090909090908,9.09090909090909,15.0,8.0,3.0,113.05695618063842,28.969823100936527,7.836734693877551,10.5,10.285714285714286,7.777777777777778,2023.548444215428,21.25,6.0,11.0,1.0,1.0,0.0,5.0,2.0,4.687499999999999,18.049999999999997,0.0
Remainder of Financial Services,10.0,0.0,0.0,1.0,0.0,2.0,19.0,1.0,0.0,1.0,2.0,8.0,2.0,2.0,24.0,0.0,6.666666666666667,1.0,3.0,2.0,8.0,12.0,6.999999999999999,3.0,3.0,1.0,2.0,1.0,5.0,2.0,0.0,2.0,4.499999999999999,3.0,2.0,46.059999999999995,16.941176470588232,9.0,4.0,0.0,6.0,14.666666666666668,4.0,10.0,2.0,3.0,0.0,4.0,3.0,3.0,1699.3477300931593,3403.7131331790306,0.0,75.92207792207792,11.818181818181817,7.0,79.48979591836734,5.0,4.0,0.0,1.0,1.0,34.94444444444446,4.0,2.0,1.0,2.0,2.6666666666666665,79.9075924075924,30.0,65.84126984126983,60.851851851851855,1.0,1.0,2.0,0.0,15.210526315789473,0.0,9.9,0.0
Rental value property ownership,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Exploitation real estate,4.0,0.0,0.0,29.47066666666667,8.0,11.0,232.87453633740895,24.999999999999996,1.0,40.727272727272734,54.74959641580961,46.6812015503876,54.07646356033453,31.058823529411764,136.9946142201224,21.221052631578946,81.87341772151898,69.4922572509458,41.0,252.9771040723982,86.0655238095238,66.74747474747475,197.60792079207928,15.0,61.997157071783924,66.3686153846154,45.804833561331506,57.01818181818183,111.9125457020096,2.6666666666666665,92.33925049309664,401.0103018914214,71.59768248042472,373.9175948261427,694.4092790495617,1033.9685894649672,4402.64556291826,151.5859924512927,8.0,59.7142857142857,549.6021500560545,59.70020837534448,458.9157193507104,985.6243159482756,51.07142857142858,76.92237563006795,8.522727272727272,190.37959282617848,510.3205495700306,80.46296296296298,329.50787432188065,155.9855135563032,152.76017197986576,36.0,1915.6232936930905,490.8294482908651,677.4500158770691,274.1390200311192,105.5530861061722,170.1591533466533,49.831410825199654,13.846153846153847,157.80219548903833,256.5234956210566,73.3117170228445,16.0,73.90421833991144,61.26923076923077,112.92792792792793,251.49876539348864,138.26824516200992,889.4642731982021,16.88888888888889,14.0,1.0,73.01125395152792,129.82566853834675,22.916666666666668,203.757027681857,0.0
Legal services and administration,246.7581758893281,0.0,5.0,6.0,2.0,2.625,229.8572998065764,11.0,2.0,8.0,12.0,38.0,22.000000000000004,9.0,220.39090880591868,21.0,43.0,14.0,20.0,63.98437500000001,75.16666666666664,71.80557413600891,81.18947933440685,29.000000000000004,16.094117647058823,13.066666666666666,13.0,37.94871794871795,51.87234042553191,11.0,19.0,92.82647754137115,84.73523034624583,127.92,68.91299777901675,1266.1655892218687,472.42944952832175,139.7265625,36.07626561472714,33.590223219852845,98.6646484583378,121.52574698029244,56.594066197907736,102.96116504854369,27.0,35.87878787878788,23.0,35.02702702702703,171.83569079805835,29.568627450980387,602.7013571333686,346.017094017094,273.00045844304424,0.0,201.98614222460614,421.4729923801617,1827.220282965961,88.78245566535806,27.999999999999996,256.60373756574774,95.93855218855221,4.0,41.84577723378214,265.7280306136394,64.90625,5.25,26.0,154.81889965998067,1378.965536985453,639.829844348923,189.72365153821522,200.62462255198005,98.92777488275144,58.98305084745764,15.0,108.8888888888889,262.751048951049,40.82207792207793,38.0,0.0
