,Agriculture,Forestry,Fishery,Mining of Oil and Gas,Remainder Mining of Resources (No Oil and Gas),Supporting Activities of Resource Mining,Food supplement Industry,Beverage Industry,Tobacco Industry,"Textile, Clothing and Leather Industry",Wood Industry,Paper Industry,Graphical Industry,Oil Industry,Chemical Industry,Pharmaceutical Industry,Rubber and Plastic Industry,Building Material Industry,Raw Metal Industry,Metal Product Industry,Electrotechnical Industry,Electrical Device Industry,Machine Industry,Car Industry,Remainder Transport Devices Industry,Furniture Industry,Remainder of Industry,Reparation and Installation of Machines,Energy Companies,Water Pipe Company ,"Sewerage, Waste, Sanitation",General Building and Project Development,"Ground, Water and Road Building",Specialized Building,Car sales and reparation,Wholesale,Retail - not cars,Transport over land,Transport over water,Transport through air,"Storage, Services, and Transport",Post and couriers,Lodging,Restaurants and Bars,Publishers,"Production of Movies, TV, Radio, Music",Broadcasting radio and television,Telecommunication,IT-services,Services in the area of information,Banking Sector,Insurers and Pension Funds,Remainder of Financial Services,Rental value property ownership,Exploitation real estate,Legal services and administration,Holdings and management advice companies,Architects and Engineering Companies,Research,Advertising and market research,"Design, Photography, Translation Companies",Veterinary Services,Rental of Movable Property,Employment Agency and Labor Mediation,Travelling Agencies,Security and Search Services,Cleaning Companies,Remaining Business Services,Public Governance and Government Services,Education,Healthcare,Caretaking and Wellbeing,"Creative Services, Art and Amusement","Libraries, Archives, Museums",Lotteries and Other Chance Games,Sport and Recreation,Idealistic and Hobby Associations ,Repairing of Consumer Articles,Remainder of Personal Service Provision,Households with personnel
Transport over land,88.0,0.0,2.0,13.0,5.0,2.0,59.0,12.0,2.0,8.0,2.0,11.0,12.0,119.0,101.0,5.0,13.0,9.0,17.0,37.0,39.0,29.0,29.0,16.0,8.0,5.0,2.0,2.0,11.0,0.0,440.0,20.0,24.0,32.0,116.0,1045.0,159.0,5677.0,25.0,18.0,213.0,9.0,7.0,11.0,12.0,18.0,7.0,26.0,33.0,4.0,17.0,33.0,23.0,0.0,12.0,12.0,164.0,9.0,6.0,7.0,6.0,0.0,20.0,16.0,303.0,1.0,3.0,5.0,222.0,59.0,124.0,143.0,11.0,6.0,1.0,17.0,40.0,0.0,6.0,0.0
Transport over water,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.0,0.0,156.0,545.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Transport through air,10.0,2.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,1.0,7.0,1.0,1.0,0.0,2.0,0.0,1.0,856.0,2.0,1.0,0.0,1.0,0.0,3.0,3.0,21.0,9.0,2.0,0.0,129.0,55.0,8.0,2.0,2.0,0.0,1.0,1.0,16.0,4.0,1.0,6.0,4.0,0.0,0.0,9.0,3.0,88.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,698.0,0.0,0.0,1.0,26.0,20.0,49.0,24.0,2.0,1.0,4.0,2.0,3.0,0.0,1.0,0.0
"Storage, Services, and Transport",63.0,0.0,9.0,41.0,0.0,2.0,58.0,3.0,2.0,5.0,1.0,0.0,2.0,427.0,230.0,0.0,3.0,4.0,4.0,4.0,10.0,1.0,3.0,2.0,6.0,0.0,2.0,3.0,44.0,0.0,7.0,8.0,5.0,15.0,77.0,692.0,68.0,533.0,421.0,558.0,4357.0,13.0,5.0,6.0,4.0,2.0,1.0,22.0,33.0,2.0,10.0,17.0,12.0,0.0,4.0,5.0,69.0,7.0,0.0,8.0,7.0,1.0,7.0,7.0,0.0,1.0,2.0,69.0,217.0,7.0,3.0,6.0,6.0,2.0,0.0,0.0,0.0,2.0,7.0,0.0
Post and couriers,28.0,0.0,2.0,1.0,0.0,1.0,21.0,2.0,0.0,1.0,2.0,3.0,5.0,3.0,10.0,4.0,3.0,6.0,3.0,14.0,7.0,1.0,16.0,4.0,3.0,2.0,7.0,9.0,20.0,3.0,3.0,22.0,9.0,39.0,26.0,286.0,172.0,129.0,6.0,3.0,35.0,1065.0,14.0,24.0,52.0,9.0,3.0,63.0,33.0,6.0,64.0,26.0,21.0,0.0,112.0,36.0,56.0,18.0,5.0,14.0,12.0,2.0,12.0,13.0,5.0,9.0,10.0,6.0,381.0,120.0,98.0,158.0,22.0,13.0,6.0,17.0,30.0,2.0,10.0,0.0
Lodging,3.0,0.0,0.0,4.0,1.0,2.0,27.0,5.0,1.0,2.0,4.0,3.0,3.0,3.0,11.0,2.0,5.0,5.0,5.0,14.0,12.0,12.0,25.0,5.0,3.0,3.0,6.0,6.0,9.0,1.0,5.0,10.0,7.0,26.0,27.0,166.0,59.0,32.0,8.0,17.0,11.0,5.0,161.0,62.0,14.0,15.0,6.0,22.0,50.0,4.0,37.0,36.0,29.0,0.0,13.0,48.0,116.0,27.0,9.0,6.0,4.0,2.0,7.0,60.0,65.0,3.0,19.0,7.0,69.0,47.0,59.0,43.0,12.0,5.0,0.0,11.0,9.0,1.0,5.0,0.0
Restaurants and Bars,6.0,1.0,0.0,9.0,1.0,1.0,71.0,18.0,3.0,4.0,3.0,2.0,8.0,7.0,39.0,3.0,10.0,7.0,10.0,19.0,31.0,33.0,25.0,7.0,10.0,4.0,9.0,7.0,22.0,2.0,8.0,18.0,6.0,39.0,28.0,263.0,51.0,53.0,10.0,370.0,43.0,9.0,28.0,85.0,13.0,21.0,11.0,23.0,57.0,8.0,49.0,44.0,32.0,0.0,18.0,47.0,177.0,17.0,17.0,13.0,14.0,1.0,19.0,16.0,37.0,4.0,78.0,16.0,132.0,34.0,409.0,308.0,10.0,5.0,7.0,62.0,29.0,0.0,8.0,0.0
Publishers,3.0,0.0,0.0,2.0,1.0,1.0,27.0,4.0,0.0,3.0,5.0,10.0,13.0,1.0,18.0,5.0,7.0,2.0,6.0,16.0,8.0,1.0,16.0,5.0,11.0,8.0,10.0,10.0,9.0,1.0,10.0,17.0,9.0,29.0,26.0,206.0,73.0,28.0,5.0,1.0,31.0,1.0,12.0,43.0,315.0,12.0,7.0,27.0,99.0,5.0,52.0,31.0,23.0,0.0,46.0,41.0,81.0,19.0,33.0,275.0,7.0,0.0,11.0,26.0,10.0,4.0,12.0,13.0,259.0,412.0,187.0,103.0,5.0,18.0,1.0,3.0,14.0,2.0,9.0,0.0
"Production of Movies, TV, Radio, Music",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,5.0,8.0,24.0,18.0,0.0,0.0,2.0,2.0,1.0,1.0,6.0,38.0,283.0,170.0,4.0,7.0,0.0,9.0,3.0,2.0,0.0,9.0,5.0,11.0,8.0,3.0,919.0,3.0,0.0,36.0,4.0,1.0,0.0,2.0,4.0,46.0,2.0,7.0,5.0,1.0,3.0,2.0,2.0,2.0,0.0,3.0,0.0
Broadcasting radio and television,4.0,0.0,0.0,0.0,0.0,0.0,38.0,8.0,3.0,4.0,0.0,5.0,4.0,0.0,6.0,4.0,6.0,2.0,5.0,8.0,7.0,9.0,8.0,0.0,0.0,4.0,8.0,5.0,4.0,0.0,2.0,10.0,0.0,15.0,24.0,63.0,56.0,5.0,0.0,5.0,6.0,4.0,5.0,14.0,21.0,75.0,45.0,11.0,29.0,6.0,19.0,13.0,10.0,0.0,29.0,18.0,30.0,14.0,10.0,285.0,7.0,0.0,15.0,15.0,5.0,0.0,6.0,11.0,23.0,11.0,6.0,8.0,7.0,5.0,5.0,7.0,9.0,0.0,7.0,0.0
Telecommunication,66.0,0.0,4.0,1.0,4.0,2.0,50.0,5.0,1.0,6.0,7.0,11.0,15.0,5.0,26.0,6.0,14.0,12.0,6.0,30.0,23.0,5.0,41.0,9.0,9.0,14.0,17.0,21.0,41.0,9.0,17.0,84.0,30.0,145.0,78.0,470.0,216.0,61.0,20.0,18.0,87.0,17.0,26.0,67.0,41.0,13.0,4.0,100.0,73.0,9.0,384.0,81.0,58.0,5.0,284.0,116.0,610.0,95.0,15.0,41.0,37.0,6.0,26.0,39.0,14.0,14.0,32.0,30.0,228.0,148.0,243.0,177.0,57.0,55.0,27.0,104.0,81.0,6.0,28.0,0.0
IT-services,60.0,1.0,3.0,14.0,3.0,6.0,99.0,17.0,3.0,3.0,4.0,32.0,21.0,15.0,332.0,20.0,22.0,17.0,27.0,45.0,70.0,19.0,60.0,10.0,26.0,8.0,17.0,35.0,82.0,16.0,27.0,96.0,109.0,168.0,92.0,2019.0,214.0,64.0,130.0,66.0,121.0,26.0,68.0,109.0,105.0,63.0,54.0,589.0,6147.0,717.0,332.0,169.0,103.0,0.0,207.0,187.0,907.0,445.0,117.0,47.0,44.0,8.0,99.0,268.0,26.0,42.0,62.0,48.0,1095.0,286.0,128.0,126.0,49.0,28.0,2.0,47.0,53.0,34.0,23.0,0.0
Services in the area of information,14.0,0.0,0.0,1.0,1.0,3.0,37.0,4.0,3.0,4.0,0.0,7.0,7.0,0.0,55.0,5.0,12.0,5.0,7.0,18.0,30.0,17.0,17.0,5.0,2.0,5.0,1.0,6.0,20.0,6.0,6.0,23.0,7.0,19.0,33.0,160.0,61.0,17.0,5.0,35.0,15.0,8.0,3.0,27.0,38.0,35.0,18.0,63.0,645.0,102.0,161.0,73.0,26.0,0.0,46.0,39.0,158.0,30.0,1.0,32.0,15.0,0.0,32.0,18.0,14.0,16.0,1.0,26.0,140.0,21.0,24.0,14.0,3.0,1.0,3.0,8.0,30.0,6.0,13.0,0.0
Banking Sector,149.0,0.0,4.0,126.0,11.0,51.0,521.0,42.0,11.0,27.0,25.0,71.0,45.0,229.0,418.0,45.0,69.0,59.0,58.0,177.0,327.0,95.0,229.0,63.0,80.0,29.0,61.0,78.0,180.0,19.0,101.0,263.0,123.0,284.0,186.0,1256.0,359.0,224.0,73.0,89.0,209.0,81.0,81.0,147.0,51.0,55.0,17.0,144.0,313.0,32.0,3529.0,3219.0,538.0,20843.0,409.0,165.0,924.0,126.0,56.0,73.0,39.0,5.0,134.0,236.0,91.0,14.0,88.0,41.0,1471.0,167.0,411.0,404.0,55.0,16.0,20.0,87.0,280.0,10.0,50.0,0.0
Insurers and Pension Funds,117.0,0.0,3.0,4.0,0.0,0.0,49.0,8.0,1.0,6.0,7.0,5.0,7.0,3.0,18.0,4.0,11.0,10.0,3.0,19.0,13.0,7.0,16.0,5.0,7.0,10.0,7.0,15.0,14.0,2.0,26.0,22.0,17.0,62.0,49.0,323.0,124.0,79.0,12.0,11.0,30.0,3.0,30.0,21.0,7.0,9.0,1.0,10.0,51.0,11.0,118.0,368.0,33.0,120.0,127.0,38.0,92.0,50.0,13.0,15.0,9.0,3.0,122.0,27.0,7.0,11.0,13.0,9.0,505.0,18.0,8.0,9.0,1.0,1.0,0.0,6.0,2.0,4.0,18.0,0.0
Remainder of Financial Services,10.0,0.0,0.0,1.0,0.0,1.0,24.0,1.0,0.0,1.0,3.0,6.0,1.0,1.0,24.0,0.0,5.0,2.0,4.0,2.0,9.0,11.0,7.0,4.0,3.0,1.0,2.0,1.0,6.0,2.0,0.0,2.0,3.0,4.0,1.0,49.0,17.0,10.0,3.0,0.0,7.0,12.0,4.0,10.0,1.0,4.0,0.0,4.0,4.0,2.0,1806.0,3279.0,0.0,76.0,11.0,8.0,98.0,5.0,5.0,0.0,2.0,2.0,35.0,3.0,3.0,1.0,2.0,3.0,77.0,31.0,63.0,54.0,1.0,1.0,2.0,0.0,18.0,0.0,10.0,0.0
Rental value property ownership,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Exploitation real estate,4.0,0.0,0.0,24.0,8.0,12.0,251.0,26.0,1.0,33.0,47.0,43.0,58.0,29.0,130.0,15.0,79.0,65.0,35.0,255.0,70.0,57.0,195.0,11.0,63.0,65.0,52.0,55.0,101.0,3.0,78.0,379.0,91.0,341.0,619.0,1016.0,4384.0,142.0,9.0,41.0,595.0,58.0,430.0,927.0,56.0,78.0,16.0,206.0,469.0,64.0,316.0,158.0,149.0,36.0,1945.0,536.0,688.0,258.0,127.0,182.0,46.0,12.0,138.0,246.0,64.0,17.0,74.0,52.0,111.0,253.0,129.0,865.0,17.0,15.0,1.0,75.0,129.0,23.0,202.0,0.0
Legal services and administration,253.0,0.0,5.0,6.0,3.0,6.0,235.0,12.0,1.0,9.0,12.0,35.0,24.0,8.0,217.0,22.0,41.0,12.0,20.0,64.0,84.0,65.0,72.0,26.0,18.0,14.0,19.0,37.0,52.0,12.0,26.0,90.0,77.0,115.0,69.0,1241.0,451.0,141.0,39.0,33.0,96.0,103.0,51.0,98.0,30.0,33.0,22.0,45.0,161.0,18.0,607.0,351.0,279.0,0.0,207.0,416.0,1808.0,83.0,27.0,257.0,90.0,4.0,38.0,262.0,62.0,7.0,26.0,153.0,1375.0,645.0,179.0,173.0,98.0,59.0,14.0,103.0,260.0,40.0,35.0,0.0
Holdings and management advice companies,91.0,0.0,2.0,82.0,14.0,63.0,876.0,131.0,11.0,69.0,49.0,272.0,97.0,62.0,1064.0,208.0,182.0,123.0,68.0,292.0,281.0,494.0,913.0,161.0,97.0,65.0,49.0,221.0,153.0,28.0,101.0,364.0,221.0,508.0,347.0,7164.0,885.0,730.0,184.0,194.0,492.0,498.0,220.0,259.0,175.0,169.0,79.0,410.0,1548.0,489.0,620.0,345.0,393.0,2.0,665.0,1439.0,4222.0,763.0,273.0,314.0,362.0,20.0,179.0,446.0,140.0,75.0,207.0,299.0,1171.0,233.0,179.0,140.0,56.0,40.0,4.0,65.0,203.0,16.0,66.0,0.0
Architects and Engineering Companies,48.0,0.0,2.0,21.0,9.0,148.0,128.0,7.0,2.0,4.0,7.0,19.0,11.0,99.0,133.0,17.0,19.0,8.0,12.0,71.0,24.0,45.0,106.0,23.0,26.0,11.0,10.0,33.0,85.0,40.0,1.0,494.0,338.0,371.0,81.0,292.0,125.0,33.0,11.0,2.0,121.0,20.0,10.0,25.0,5.0,1.0,1.0,59.0,18.0,11.0,35.0,58.0,42.0,52.0,236.0,27.0,467.0,954.0,25.0,22.0,30.0,2.0,22.0,26.0,22.0,2.0,7.0,12.0,561.0,42.0,19.0,8.0,9.0,7.0,4.0,9.0,59.0,4.0,11.0,0.0
Research,4.0,0.0,0.0,3.0,0.0,9.0,89.0,2.0,0.0,2.0,1.0,6.0,0.0,35.0,175.0,25.0,3.0,2.0,2.0,9.0,21.0,110.0,62.0,7.0,3.0,4.0,10.0,0.0,3.0,5.0,0.0,8.0,8.0,4.0,15.0,65.0,22.0,4.0,4.0,0.0,1.0,3.0,1.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,6.0,14.0,0.0,3.0,9.0,182.0,42.0,230.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Advertising and market research,23.0,0.0,0.0,2.0,2.0,2.0,114.0,49.0,7.0,9.0,6.0,11.0,12.0,7.0,97.0,14.0,23.0,7.0,28.0,30.0,55.0,36.0,53.0,37.0,17.0,6.0,14.0,14.0,43.0,6.0,9.0,41.0,22.0,116.0,179.0,1417.0,608.0,57.0,18.0,28.0,46.0,19.0,38.0,102.0,102.0,161.0,25.0,145.0,316.0,43.0,238.0,109.0,71.0,0.0,124.0,151.0,344.0,89.0,33.0,895.0,46.0,6.0,68.0,153.0,42.0,10.0,31.0,98.0,416.0,74.0,40.0,47.0,29.0,16.0,20.0,43.0,59.0,6.0,34.0,0.0
"Design, Photography, Translation Companies",23.0,0.0,0.0,4.0,0.0,1.0,52.0,7.0,3.0,4.0,0.0,12.0,18.0,5.0,62.0,5.0,9.0,4.0,11.0,13.0,23.0,24.0,25.0,6.0,19.0,4.0,8.0,12.0,8.0,2.0,8.0,26.0,20.0,36.0,70.0,369.0,204.0,40.0,19.0,24.0,34.0,18.0,27.0,63.0,42.0,49.0,33.0,31.0,189.0,102.0,83.0,85.0,36.0,0.0,87.0,45.0,507.0,39.0,21.0,154.0,378.0,0.0,41.0,33.0,25.0,16.0,26.0,46.0,285.0,84.0,18.0,50.0,27.0,23.0,6.0,23.0,34.0,15.0,14.0,0.0
Veterinary Services,322.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,17.0,0.0,5.0,0.0,0.0,0.0,0.0
Rental of Movable Property,43.0,1.0,2.0,10.0,3.0,7.0,120.0,25.0,0.0,1.0,8.0,22.0,35.0,5.0,57.0,9.0,38.0,25.0,18.0,76.0,7.0,8.0,29.0,8.0,15.0,16.0,30.0,16.0,86.0,9.0,58.0,157.0,183.0,315.0,33.0,577.0,67.0,126.0,53.0,93.0,87.0,93.0,8.0,32.0,9.0,97.0,65.0,66.0,216.0,13.0,83.0,67.0,33.0,0.0,40.0,68.0,239.0,41.0,13.0,17.0,41.0,8.0,231.0,6.0,8.0,16.0,49.0,56.0,56.0,42.0,43.0,109.0,29.0,17.0,6.0,69.0,30.0,8.0,22.0,0.0
Employment Agency and Labor Mediation,112.0,0.0,2.0,88.0,8.0,100.0,1380.0,90.0,7.0,71.0,72.0,72.0,77.0,36.0,391.0,145.0,229.0,198.0,181.0,629.0,163.0,180.0,803.0,399.0,236.0,75.0,62.0,296.0,540.0,38.0,255.0,298.0,203.0,1213.0,182.0,2181.0,770.0,943.0,177.0,44.0,839.0,176.0,213.0,386.0,100.0,44.0,33.0,210.0,102.0,50.0,466.0,252.0,180.0,0.0,335.0,255.0,1394.0,759.0,188.0,124.0,46.0,6.0,201.0,1421.0,49.0,114.0,331.0,354.0,1304.0,1225.0,311.0,505.0,15.0,10.0,2.0,102.0,76.0,40.0,68.0,0.0
Travelling Agencies,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,5.0,6.0,45.0,19.0,14.0,10.0,367.0,2.0,0.0,163.0,28.0,1.0,2.0,2.0,0.0,6.0,0.0,7.0,92.0,5.0,13.0,16.0,2.0,73.0,2.0,1.0,2.0,2.0,0.0,1.0,2.0,1948.0,0.0,2.0,1.0,31.0,14.0,3.0,3.0,24.0,16.0,17.0,77.0,7.0,0.0,1.0,0.0
Security and Search Services,1.0,0.0,0.0,2.0,1.0,1.0,32.0,1.0,0.0,2.0,3.0,18.0,2.0,4.0,35.0,4.0,8.0,5.0,7.0,12.0,7.0,6.0,13.0,5.0,3.0,4.0,9.0,5.0,8.0,10.0,4.0,11.0,5.0,15.0,12.0,75.0,196.0,52.0,11.0,3.0,419.0,19.0,30.0,33.0,6.0,2.0,1.0,18.0,10.0,1.0,16.0,13.0,9.0,3.0,35.0,13.0,77.0,8.0,5.0,5.0,3.0,1.0,6.0,7.0,1.0,130.0,96.0,5.0,282.0,248.0,5.0,12.0,12.0,17.0,11.0,36.0,4.0,0.0,5.0,0.0
Cleaning Companies,43.0,1.0,0.0,7.0,5.0,2.0,72.0,6.0,0.0,4.0,4.0,6.0,7.0,10.0,48.0,8.0,13.0,17.0,6.0,28.0,13.0,15.0,34.0,12.0,15.0,7.0,32.0,20.0,36.0,12.0,26.0,29.0,45.0,63.0,87.0,289.0,269.0,85.0,74.0,18.0,129.0,12.0,137.0,127.0,6.0,7.0,3.0,26.0,134.0,7.0,71.0,71.0,60.0,59.0,672.0,61.0,372.0,56.0,23.0,48.0,47.0,7.0,478.0,72.0,15.0,28.0,540.0,15.0,1294.0,759.0,263.0,305.0,113.0,113.0,23.0,151.0,121.0,5.0,41.0,0.0
Remaining Business Services,137.0,0.0,4.0,0.0,2.0,1.0,49.0,9.0,2.0,3.0,5.0,11.0,4.0,2.0,59.0,3.0,7.0,6.0,10.0,14.0,24.0,17.0,21.0,4.0,4.0,1.0,6.0,2.0,28.0,13.0,5.0,23.0,9.0,34.0,41.0,251.0,90.0,23.0,4.0,17.0,10.0,9.0,32.0,43.0,26.0,28.0,11.0,97.0,328.0,81.0,67.0,66.0,58.0,0.0,68.0,28.0,337.0,14.0,3.0,107.0,51.0,1.0,174.0,32.0,35.0,4.0,20.0,115.0,164.0,41.0,13.0,44.0,26.0,4.0,7.0,4.0,30.0,26.0,9.0,0.0
Public Governance and Government Services,96.0,0.0,4.0,8.0,3.0,4.0,146.0,20.0,1.0,17.0,13.0,50.0,13.0,9.0,116.0,12.0,23.0,13.0,51.0,51.0,20.0,30.0,51.0,19.0,14.0,11.0,17.0,14.0,246.0,8.0,137.0,66.0,20.0,88.0,96.0,346.0,167.0,162.0,39.0,6.0,57.0,13.0,46.0,97.0,14.0,10.0,7.0,65.0,183.0,10.0,153.0,70.0,79.0,0.0,85.0,85.0,205.0,43.0,24.0,259.0,19.0,5.0,10.0,57.0,11.0,11.0,36.0,42.0,1034.0,220.0,368.0,457.0,15.0,8.0,6.0,52.0,38.0,5.0,26.0,0.0
Education,7.0,0.0,0.0,11.0,2.0,1.0,38.0,11.0,0.0,0.0,1.0,4.0,3.0,4.0,31.0,13.0,6.0,6.0,3.0,19.0,11.0,8.0,46.0,9.0,9.0,3.0,15.0,15.0,27.0,5.0,12.0,24.0,27.0,57.0,35.0,142.0,55.0,26.0,11.0,11.0,35.0,6.0,35.0,72.0,14.0,39.0,28.0,27.0,47.0,7.0,163.0,107.0,48.0,0.0,34.0,272.0,352.0,52.0,148.0,45.0,11.0,4.0,10.0,64.0,4.0,9.0,11.0,16.0,1280.0,618.0,295.0,245.0,169.0,30.0,4.0,65.0,64.0,1.0,12.0,0.0
Healthcare,7.0,0.0,0.0,3.0,0.0,1.0,8.0,1.0,0.0,0.0,0.0,3.0,2.0,7.0,7.0,0.0,4.0,5.0,2.0,12.0,6.0,2.0,10.0,2.0,1.0,1.0,2.0,4.0,5.0,0.0,2.0,11.0,6.0,18.0,21.0,80.0,35.0,20.0,0.0,1.0,10.0,4.0,5.0,11.0,2.0,1.0,1.0,4.0,28.0,1.0,17.0,9.0,8.0,0.0,9.0,11.0,14.0,16.0,5.0,7.0,0.0,0.0,0.0,32.0,12.0,2.0,3.0,6.0,994.0,48.0,2238.0,575.0,2.0,1.0,0.0,8.0,9.0,8.0,4.0,0.0
Caretaking and Wellbeing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,207.0,3.0,145.0,341.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Creative Services, Art and Amusement",2.0,0.0,0.0,2.0,0.0,1.0,15.0,12.0,0.0,2.0,2.0,1.0,3.0,3.0,7.0,1.0,3.0,4.0,4.0,5.0,9.0,3.0,5.0,3.0,4.0,2.0,6.0,5.0,6.0,0.0,2.0,6.0,5.0,13.0,11.0,48.0,54.0,10.0,4.0,0.0,6.0,1.0,33.0,81.0,31.0,168.0,105.0,13.0,38.0,2.0,20.0,19.0,9.0,0.0,18.0,13.0,90.0,11.0,7.0,39.0,23.0,0.0,216.0,26.0,31.0,3.0,6.0,4.0,49.0,16.0,14.0,5.0,792.0,44.0,19.0,25.0,35.0,1.0,2.0,0.0
"Libraries, Archives, Museums",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,13.0,8.0,6.0,1.0,3.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,4.0,3.0,0.0,2.0,15.0,0.0,19.0,2.0,25.0,0.0,0.0,0.0,2.0,62.0,0.0,8.0,31.0,103.0,0.0,15.0,6.0,0.0,0.0,0.0
Lotteries and Other Chance Games,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0
Sport and Recreation,1.0,0.0,0.0,2.0,1.0,0.0,25.0,5.0,1.0,2.0,1.0,2.0,3.0,1.0,11.0,2.0,5.0,2.0,7.0,4.0,7.0,5.0,9.0,3.0,4.0,2.0,2.0,5.0,6.0,1.0,20.0,10.0,5.0,15.0,20.0,74.0,48.0,7.0,2.0,6.0,10.0,4.0,6.0,16.0,10.0,40.0,17.0,14.0,12.0,8.0,27.0,23.0,13.0,0.0,18.0,18.0,32.0,8.0,9.0,59.0,9.0,1.0,12.0,21.0,44.0,2.0,7.0,14.0,180.0,68.0,4.0,14.0,10.0,10.0,76.0,697.0,10.0,0.0,15.0,0.0
Idealistic and Hobby Associations ,56.0,0.0,1.0,2.0,0.0,2.0,35.0,5.0,1.0,4.0,4.0,7.0,2.0,2.0,37.0,2.0,9.0,5.0,7.0,14.0,4.0,4.0,10.0,8.0,13.0,8.0,16.0,8.0,9.0,2.0,24.0,18.0,14.0,38.0,26.0,86.0,46.0,25.0,10.0,1.0,15.0,0.0,21.0,43.0,10.0,10.0,6.0,11.0,130.0,12.0,52.0,36.0,32.0,0.0,74.0,43.0,58.0,25.0,8.0,22.0,16.0,2.0,12.0,14.0,11.0,3.0,23.0,9.0,105.0,38.0,253.0,91.0,4.0,10.0,1.0,22.0,89.0,3.0,8.0,0.0
